eps,log_prec,num_class,actual_eps,setup,committing,computing,proving,verifying,comm
2.0,6,8,2.1972245773362196,0.0374316,0.000374498,5.43e-06,0.0357721,0.00616096,2032
2.0,6,16,1.8458266904983307,0.0401409,0.000507278,7.404e-06,0.0471007,0.00805875,2032
2.0,6,32,0.0,0.0352628,0.000435397,4.338e-06,0.0371532,0.00617383,2032
2.0,6,64,0.0,0.0330931,0.000549323,2.583e-06,0.0473088,0.00802565,2032
2.0,7,2,2.0193376176101303,0.0666528,0.000487329,1.1684e-05,0.0912857,0.00806088,2032
2.0,7,4,2.03688192726104,0.0598648,0.000374419,9.373e-06,0.0696064,0.00614738,2032
2.0,7,8,1.9771626925594177,0.0680189,0.000439897,1.2275e-05,0.0910826,0.00804582,2032
2.0,7,16,1.8458266904983307,0.0606092,0.000400105,9.539e-06,0.0719435,0.00632535,2032
2.0,7,32,2.456735772821304,0.0602492,0.000393098,9.323e-06,0.070154,0.00615973,2032
2.0,7,64,0.0,0.0510435,0.00051014,7.673e-06,0.0912252,0.00804726,2032
2.0,7,128,0.0,0.0513056,0.000506984,2.442e-06,0.0912494,0.0080808,2032
2.0,8,2,1.9821131977192739,0.115247,0.00037888,2.171e-05,0.179848,0.00807731,2032
2.0,8,4,1.979621206397625,0.11741,0.000447011,2.2019e-05,0.17972,0.00796394,2032
2.0,8,8,1.9771626925594177,0.11512,0.000510951,2.1566e-05,0.179766,0.00802339,2032
2.0,8,16,2.1129642337184795,0.115606,0.000508629,2.2103e-05,0.179774,0.00799706,2032
2.0,8,32,1.717651497074333,0.11511,0.00051071,2.2104e-05,0.179941,0.00805946,2032
2.0,8,64,0.0,0.0870517,0.000512521,1.7195e-05,0.180563,0.00805433,2032
2.0,8,128,0.0,0.0832779,0.000514539,1.2403e-05,0.180132,0.0080575,2032
2.0,9,2,2.0005934753293673,0.215373,0.0003854,4.1386e-05,0.358804,0.0080807,2032
2.0,9,4,2.008077055471865,0.216828,0.000384102,4.1437e-05,0.358507,0.00804382,2032
2.0,9,8,1.9771626925594177,0.214728,0.000491859,4.23e-05,0.358495,0.00808164,2032
2.0,9,16,1.9824995964876055,0.215385,0.000517698,4.1077e-05,0.359439,0.00803603,2032
2.0,9,32,2.126398524767607,0.213448,0.000508213,4.2247e-05,0.359413,0.00801551,2032
2.0,9,64,2.316769727986002,0.209111,0.000442371,4.2272e-05,0.35864,0.00805186,2032
